Vds	Id(M1)
Step Information: Vgs=2  (Step: 1/6)
3.100000000000000e+01	9.119257e-02
3.110000000000000e+01	9.122603e-02
3.120000000000000e+01	9.125949e-02
3.130000000000000e+01	9.129295e-02
3.140000000000000e+01	9.132641e-02
3.150000000000000e+01	9.135987e-02
3.160000000000000e+01	9.139332e-02
3.170000000000000e+01	9.142678e-02
3.180000000000000e+01	9.146024e-02
3.190000000000000e+01	9.149369e-02
3.200000000000000e+01	9.152714e-02
3.210000000000000e+01	9.156059e-02
3.220000000000000e+01	9.159405e-02
3.230000000000000e+01	9.162750e-02
3.240000000000000e+01	9.166095e-02
3.250000000000000e+01	9.169440e-02
3.260000000000000e+01	9.172785e-02
3.270000000000000e+01	9.176130e-02
3.280000000000000e+01	9.179474e-02
3.290000000000000e+01	9.182819e-02
3.300000000000000e+01	9.186164e-02
3.310000000000000e+01	9.189508e-02
3.320000000000000e+01	9.192853e-02
3.330000000000000e+01	9.196197e-02
3.340000000000000e+01	9.199541e-02
3.350000000000000e+01	9.202886e-02
3.360000000000000e+01	9.206229e-02
3.370000000000000e+01	9.209573e-02
3.380000000000000e+01	9.212917e-02
3.390000000000000e+01	9.216261e-02
3.400000000000000e+01	9.219605e-02
3.410000000000000e+01	9.222949e-02
3.420000000000000e+01	9.226292e-02
3.430000000000000e+01	9.229635e-02
3.440000000000000e+01	9.232979e-02
3.450000000000000e+01	9.236322e-02
3.460000000000000e+01	9.239665e-02
3.470000000000000e+01	9.243008e-02
3.480000000000000e+01	9.246352e-02
3.490000000000000e+01	9.249694e-02
3.500000000000000e+01	9.253037e-02
Step Information: Vgs=2.5  (Step: 2/6)
0.000000000000000e+00	2.171391e-31
1.000000000000000e-01	7.338597e-01
2.000000000000000e-01	1.366374e+00
3.000000000000000e-01	1.889812e+00
4.000000000000000e-01	2.295627e+00
5.000000000000000e-01	2.574345e+00
6.000000000000001e-01	2.715434e+00
7.000000000000001e-01	2.731453e+00
8.000000000000000e-01	2.732486e+00
9.000000000000000e-01	2.733480e+00
1.000000000000000e+00	2.734474e+00
1.100000000000000e+00	2.735469e+00
1.200000000000000e+00	2.736462e+00
1.300000000000000e+00	2.737456e+00
